time_s,bandwidth_Mbps
0.000,2.700468
1.001,3.612452
2.002,4.185510
3.003,4.760424
4.004,4.200222
5.051,4.946286
6.052,4.716691
7.053,4.393239
8.054,4.776315
9.070,4.360440
10.071,4.891620
11.072,4.252022
12.150,4.508963
13.151,4.366833
14.152,3.842155
15.251,3.645275
16.261,4.279345
17.262,4.137263
18.263,4.145192
19.270,3.452995
20.271,3.883659
21.281,3.786139
22.291,4.229668
23.296,3.623458
24.300,3.786523
25.340,2.961932
26.450,3.244356
27.460,3.809247
28.461,2.978334
29.462,3.674222
30.470,4.126306
31.471,3.918577
32.472,3.743648
33.473,3.729849
34.520,4.213770
35.521,4.672959
36.522,4.081169
37.562,3.869651
38.570,3.514054
39.571,3.481255
40.572,3.250794
41.580,3.019050
42.582,3.032999
43.583,3.076731
44.584,2.708803
45.590,2.748739
46.591,2.621079
47.599,2.781538
48.600,2.247769
49.605,2.721886
50.640,2.973794
51.641,2.553403
52.650,2.486354
53.651,2.553403
54.660,2.370316
55.710,2.033550
56.711,1.893651
57.719,1.896238
58.729,1.874094
59.730,1.931329
60.809,1.978885
61.810,1.501304
62.819,1.981899
63.824,2.258659
64.829,1.858621
65.830,1.231365
66.838,1.900455
67.840,1.393039
68.841,1.784348
69.853,1.571054
70.859,1.847688
71.860,3.406891
72.870,2.934601
73.871,2.311417
74.872,1.988414
75.887,2.621317
76.889,2.256751
77.890,1.655795
78.904,2.439260
79.909,1.824887
80.919,1.795768
81.921,2.914457
82.989,2.232143
83.999,1.326448
85.009,2.558338
86.010,2.335019
87.029,2.290820
88.039,2.099149
89.040,1.566383
90.049,1.721163
91.060,1.933244
92.070,1.566383
93.079,1.836755
94.080,2.059956
95.081,2.286630
96.179,2.055417
97.180,2.249705
98.189,2.182525
99.209,2.317553
100.229,1.293941
101.239,1.275549
102.260,1.535938
103.289,1.957019
104.290,1.327762
105.299,2.274078
106.300,2.067365
107.308,1.672759
108.309,1.510653
109.319,1.993758
110.329,1.900737
111.339,1.694859
112.349,1.989818
113.350,1.642307
114.359,2.449007
115.360,2.289550
116.361,2.631937
117.369,2.497127
118.370,2.176788
119.619,2.503034
120.629,2.680911
121.639,1.956852
122.648,2.055417
123.649,2.149956
124.659,1.903561
125.679,2.286321
126.689,1.819429
127.690,2.115045
128.699,2.063271
129.709,2.314783
130.718,2.158655
131.729,2.286321
132.739,2.355149
133.740,2.531711
134.749,2.362170
135.759,1.533843
136.768,1.793023
137.769,1.662352
138.779,1.956852
139.788,2.252212
140.789,2.070889
141.790,2.336476
142.799,2.934601
143.800,2.377714
144.808,2.053107
145.823,2.389333
146.828,2.035086
147.839,1.577229
148.848,1.267770
149.858,1.557035
150.859,1.930656
151.868,1.801432
152.879,1.995734
153.888,1.895952
154.889,1.948389
155.908,2.131948
156.909,1.533843
157.918,1.727425
158.919,1.271772
159.938,1.582004
160.948,1.495843
161.968,1.340964
162.980,1.074857
163.988,1.044721
164.998,1.289442
166.008,1.083564
167.018,0.806337
168.028,0.740329
169.048,0.866851
170.058,0.711891
171.088,0.599425
172.118,0.725988
173.128,0.954918
174.148,0.478136
175.178,0.308431
176.207,0.357441
177.248,0.284123
178.288,0.199541
179.298,0.308132
180.328,0.008392
201.194,0.845965
202.216,2.141241
203.225,2.678601
204.226,2.204135
205.236,1.721031
206.237,2.644621
207.255,2.300484
208.256,2.542557
209.265,2.377015
210.266,2.679056
211.275,2.374619
212.277,2.423271
213.286,1.828508
214.294,1.516990
215.506,1.422532
216.563,2.252468
217.564,1.151937
218.575,1.551033
219.584,1.792380
220.594,2.013436
221.605,1.817733
222.625,2.252392
223.634,2.030841
224.635,2.249705
225.644,2.267973
226.669,2.684377
227.676,2.273651
228.684,2.175872
229.687,2.345011
230.795,2.589719
231.805,2.355834
232.815,2.406324
233.822,1.933398
235.064,2.613003
236.065,2.462020
237.067,2.338794
238.075,2.412400
239.084,2.684582
240.095,2.409814
241.096,2.401554
242.105,2.388341
243.115,2.656735
244.116,2.002222
245.124,2.351178
246.136,2.443086
247.204,2.645802
248.205,2.375655
249.225,2.420747
250.226,2.317071
251.234,2.645802
252.235,2.108702
253.244,2.103688
254.245,2.299433
255.254,1.673188
256.264,1.609412
257.284,0.315304
260.214,4.067865
261.224,1.809552
262.234,1.452925
263.254,0.687356
264.273,0.814286
265.281,0.022540
271.096,0.152208
273.716,1.191704
274.717,3.623385
275.718,4.224703
276.719,4.240176
277.720,4.323372
278.726,4.738557
279.727,3.988715
280.728,4.027908
281.729,3.831113
282.730,4.051404
283.736,3.656184
284.737,3.863912
285.738,3.203399
286.776,3.742796
287.786,3.276863
288.796,2.951794
289.806,3.008951
290.815,3.128206
291.866,3.594656
292.875,3.437522
293.876,3.077079
294.884,3.273526
295.885,3.831113
296.886,3.940444
297.887,3.902222
298.895,3.920048
299.904,3.448456
300.905,3.294993
301.954,3.471905
302.964,4.038841
303.965,3.465043
304.977,3.289893
305.983,3.984176
306.984,3.918577
307.985,3.957090
308.994,4.421499
309.995,3.874845
310.996,4.260508
312.004,4.119912
313.005,4.162794
314.013,3.973243
315.014,3.412248
316.016,4.101720
317.023,3.474510
318.043,4.126306
319.044,4.060707
320.045,4.097651
321.053,3.612452
322.054,3.216705
323.234,4.388699
324.235,4.607937
325.243,3.981737
326.254,4.191207
327.263,4.596428
328.264,4.649909
329.278,4.850372
330.283,3.852979
331.284,3.828580
332.304,3.568719
333.305,3.284460
