time_s,bandwidth_Mbps
0.000,2.016642
1.010,2.464596
2.030,0.813950
3.060,1.349025
4.090,0.933698
5.289,1.233766
6.290,1.545719
7.500,1.500155
8.530,1.500827
9.700,1.577605
10.921,1.711674
12.100,2.632240
13.102,1.975571
14.110,1.380015
15.160,1.865966
16.161,1.944135
17.171,1.619849
18.360,2.157393
19.560,2.041606
20.561,1.956308
21.562,2.109092
22.580,1.672184
23.581,1.782553
24.582,2.075084
25.591,2.051916
26.592,2.073468
27.600,2.146682
28.611,1.933535
29.630,1.980624
30.720,1.998234
31.830,1.990670
32.931,2.004196
34.010,2.072218
35.111,2.037954
36.112,2.056783
37.113,1.877746
38.121,2.148412
39.122,2.064119
40.131,2.383842
41.141,2.075013
42.150,1.737911
43.163,1.521509
44.170,0.875786
45.180,1.869554
46.181,2.737574
47.182,2.963766
48.191,2.677156
49.201,3.824288
50.202,3.586957
51.203,3.437277
52.205,3.096680
53.252,3.717690
54.253,3.122706
55.261,2.576655
56.262,2.938866
57.281,3.587389
58.282,4.421363
59.283,3.358991
60.472,3.818094
61.473,3.476321
62.482,2.146645
63.571,3.480535
64.572,4.430961
65.573,4.000497
66.651,4.185766
67.652,4.293753
68.663,3.017072
69.670,2.091756
70.671,2.503672
71.672,1.552714
72.691,1.446297
73.781,1.978885
74.782,1.475611
75.790,1.742813
76.801,1.404610
77.811,1.647018
78.821,1.597719
79.831,1.105236
80.841,1.599058
81.843,3.027586
83.041,2.931516
84.042,2.942202
85.043,2.769365
86.051,2.802667
87.062,2.722092
88.152,2.270370
89.281,3.006593
90.282,2.572436
91.283,2.099401
92.292,3.031702
93.312,3.205754
94.313,2.816032
95.314,2.671809
96.321,2.924423
97.361,3.003593
98.363,2.199921
99.371,2.536472
100.372,0.939117
101.391,1.443165
102.392,1.421491
103.441,1.552496
104.442,1.082212
105.621,0.812673
106.631,1.311113
107.641,1.033109
108.651,1.289442
109.661,1.434928
110.683,1.248262
111.691,1.596228
112.692,1.547964
113.703,1.063262
114.711,1.342291
115.722,1.355798
116.731,1.267424
117.752,1.716492
118.753,1.393141
119.791,1.473648
120.801,1.418065
121.812,1.206804
122.822,0.898997
123.831,1.048527
124.833,1.766370
125.834,2.142495
126.950,2.576559
127.952,2.413263
128.972,2.752388
129.983,2.956622
130.992,2.387540
131.993,1.433143
133.001,0.804554
134.062,2.141733
135.064,1.753650
136.092,1.527826
137.102,1.049967
138.302,1.043241
139.393,1.602089
140.404,1.005658
141.422,1.168777
142.452,0.439906
143.472,0.360007
144.682,1.626957
145.691,1.782665
146.692,2.316348
147.693,2.477062
148.695,1.670530
149.702,1.562535
150.712,2.106118
151.713,1.749558
152.722,1.198629
153.772,0.601442
154.782,1.497830
155.783,1.100484
156.784,1.568031
157.803,1.512631
158.805,1.666209
159.812,1.907073
160.822,1.132016
161.832,1.267770
162.842,0.830234
163.843,0.976174
164.852,0.647227
166.052,1.104240
167.053,1.612131
168.062,1.295886
169.113,2.525538
170.114,2.720184
171.115,2.657565
172.122,2.276423
173.135,1.995631
174.142,1.361301
175.163,1.498846
176.172,1.207079
177.623,1.794772
178.662,2.104312
179.663,1.835892
181.104,2.828838
182.106,2.431778
183.113,2.602070
184.114,1.884884
185.123,2.512096
186.125,2.251661
187.141,2.025813
188.222,2.602070
189.223,2.170505
190.293,0.153450
192.003,5.496982
193.013,2.123786
194.023,1.721024
195.203,2.315497
196.205,2.264492
